Revenu annuel,Salaire mensuel,Salaire des quatre dernières semaines,Salaire d’une semaine,Salaire ou revenu journalier moyen,Allocation
14400,1200,1120,280,40,32.00
14760,1230,1148,287,41,32.80
15120,1260,1176,294,42,33.60
15480,1290,1204,301,43,34.40
15840,1320,1232,308,44,35.20
16200,1350,1260,315,45,36.00
16560,1380,1288,322,46,36.80
16920,1410,1316,329,47,37.60
17280,1440,1344,336,48,38.40
17640,1470,1372,343,49,39.20
18000,1500,1400,350,50,40.00
18360,1530,1428,357,51,40.80
18720,1560,1456,364,52,41.60
19080,1590,1484,371,53,42.40
19440,1620,1512,378,54,43.20
19800,1650,1540,385,55,44.00
20160,1680,1568,392,56,44.80
20520,1710,1596,399,57,45.60
20880,1740,1624,406,58,46.40
21240,1770,1652,413,59,47.20
21600,1800,1680,420,60,48.00
21960,1830,1708,427,61,48.80
22320,1860,1736,434,62,49.60
22680,1890,1764,441,63,50.40
23040,1920,1792,448,64,51.20
23400,1950,1820,455,65,52.00
23760,1980,1848,462,66,52.80
24120,2010,1876,469,67,53.60
24480,2040,1904,476,68,54.40
24840,2070,1932,483,69,55.20
25200,2100,1960,490,70,56.00
25560,2130,1988,497,71,56.80
25920,2160,2016,504,72,57.60
26280,2190,2044,511,73,58.40
26640,2220,2072,518,74,59.20
27000,2250,2100,525,75,60.00
27360,2280,2128,532,76,60.80
27720,2310,2156,539,77,61.60
28080,2340,2184,546,78,62.40
28440,2370,2212,553,79,63.20
28800,2400,2240,560,80,64.00
29160,2430,2268,567,81,64.80
29520,2460,2296,574,82,65.60
29880,2490,2324,581,83,66.40
30240,2520,2352,588,84,67.20
30600,2550,2380,595,85,68.00
30960,2580,2408,602,86,68.80
31320,2610,2436,609,87,69.60
31680,2640,2464,616,88,70.40
32040,2670,2492,623,89,71.20
32400,2700,2520,630,90,72.00
32760,2730,2548,637,91,72.80
33120,2760,2576,644,92,73.60
33480,2790,2604,651,93,74.40
33840,2820,2632,658,94,75.20
34200,2850,2660,665,95,76.00
34560,2880,2688,672,96,76.80
34920,2910,2716,679,97,77.60
35280,2940,2744,686,98,78.40
35640,2970,2772,693,99,79.20
36000,3000,2800,700,100,80.00
36360,3030,2828,707,101,80.80
36720,3060,2856,714,102,81.60
37080,3090,2884,721,103,82.40
37440,3120,2912,728,104,83.20
37800,3150,2940,735,105,84.00
38160,3180,2968,742,106,84.80
38520,3210,2996,749,107,85.60
38880,3240,3024,756,108,86.40
