38h/semaine,39h/semaine,40h/semaine,41h/semaine,42h/semaine,43h/semaine,44h/semaine,45h/semaine,46h/semaine,47h/semaine,Salaire ou revenu journalier moyen
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,1
0.36,0.35,0.35,0.34,0.33,0.32,0.31,0.31,0.30,0.29,2
0.55,0.53,0.52,0.51,0.50,0.48,0.47,0.46,0.45,0.44,3
0.73,0.71,0.70,0.68,0.66,0.65,0.63,0.62,0.60,0.59,4
0.92,0.89,0.87,0.85,0.83,0.81,0.79,0.77,0.76,0.74,5
1.10,1.07,1.05,1.02,1.00,0.97,0.95,0.93,0.91,0.89,6
1.28,1.25,1.22,1.19,1.16,1.13,1.11,1.08,1.06,1.04,7
1.47,1.43,1.40,1.36,1.33,1.30,1.27,1.24,1.21,1.19,8
1.65,1.61,1.57,1.53,1.50,1.46,1.43,1.40,1.36,1.34,9
1.84,1.79,1.75,1.70,1.66,1.62,1.59,1.55,1.52,1.48,10
2.02,1.97,1.92,1.87,1.83,1.79,1.75,1.71,1.67,1.63,11
2.21,2.15,2.10,2.04,2.00,1.95,1.90,1.86,1.82,1.78,12
2.39,2.33,2.27,2.21,2.16,2.11,2.06,2.02,1.97,1.93,13
2.57,2.51,2.45,2.39,2.33,2.27,2.22,2.17,2.13,2.08,14
2.76,2.69,2.62,2.56,2.50,2.44,2.38,2.33,2.28,2.23,15
2.94,2.87,2.80,2.73,2.66,2.60,2.54,2.48,2.43,2.38,16
3.13,3.05,2.97,2.90,2.83,2.76,2.70,2.64,2.58,2.53,17
3.31,3.23,3.15,3.07,3.00,2.93,2.86,2.80,2.73,2.68,18
3.50,3.41,3.32,3.24,3.16,3.09,3.02,2.95,2.89,2.82,19
3.68,3.58,3.50,3.41,3.33,3.25,3.18,3.11,3.04,2.97,20
3.86,3.76,3.67,3.58,3.50,3.41,3.34,3.26,3.19,3.12,21
4.05,3.94,3.85,3.75,3.66,3.58,3.50,3.42,3.34,3.27,22
4.23,4.12,4.02,3.92,3.83,3.74,3.65,3.57,3.50,3.42,23
4.42,4.30,4.20,4.09,4.00,3.90,3.81,3.73,3.65,3.57,24
4.60,4.48,4.37,4.26,4.16,4.06,3.97,3.88,3.80,3.72,25
4.78,4.66,4.55,4.43,4.33,4.23,4.13,4.04,3.95,3.87,26
4.97,4.84,4.72,4.60,4.50,4.39,4.29,4.20,4.10,4.02,27
5.15,5.02,4.90,4.78,4.66,4.55,4.45,4.35,4.26,4.17,28
5.34,5.20,5.07,4.95,4.83,4.72,4.61,4.51,4.41,4.31,29
5.52,5.38,5.25,5.12,5.00,4.88,4.77,4.66,4.56,4.46,30
5.71,5.56,5.42,5.29,5.16,5.04,4.93,4.82,4.71,4.61,31
5.89,5.74,5.60,5.46,5.33,5.20,5.09,4.97,4.86,4.76,32
6.07,5.92,5.77,5.63,5.50,5.37,5.25,5.13,5.02,4.91,33
6.26,6.10,5.95,5.80,5.66,5.53,5.40,5.28,5.17,5.06,34
6.44,6.28,6.12,5.97,5.83,5.69,5.56,5.44,5.32,5.21,35
6.63,6.46,6.30,6.14,6.00,5.86,5.72,5.60,5.47,5.36,36
6.81,6.64,6.47,6.31,6.16,6.02,5.88,5.75,5.63,5.51,37
7.00,6.82,6.65,6.48,6.33,6.18,6.04,5.91,5.78,5.65,38
7.18,7.00,6.82,6.65,6.50,6.34,6.20,6.06,5.93,5.80,39
7.36,7.17,7.00,6.82,6.66,6.51,6.36,6.22,6.08,5.95,40
7.55,7.35,7.17,7.00,6.83,6.67,6.52,6.37,6.23,6.10,41
7.73,7.53,7.35,7.17,7.00,6.83,6.68,6.53,6.39,6.25,42
7.92,7.71,7.52,7.34,7.16,7.00,6.84,6.68,6.54,6.40,43
8.10,7.89,7.70,7.51,7.33,7.16,7.00,6.84,6.69,6.55,44
8.28,8.07,7.87,7.68,7.50,7.32,7.15,7.00,6.84,6.70,45
8.47,8.25,8.05,7.85,7.66,7.48,7.31,7.15,7.00,6.85,46
8.65,8.43,8.22,8.02,7.83,7.65,7.47,7.31,7.15,7.00,47
8.84,8.61,8.40,8.19,8.00,7.81,7.63,7.46,7.30,7.14,48
9.02,8.79,8.57,8.36,8.16,7.97,7.79,7.62,7.45,7.29,49
9.21,8.97,8.75,8.53,8.33,8.13,7.95,7.77,7.60,7.44,50
9.39,9.15,8.92,8.70,8.50,8.30,8.11,7.93,7.76,7.59,51
9.57,9.33,9.10,8.87,8.66,8.46,8.27,8.08,7.91,7.74,52
9.76,9.51,9.27,9.04,8.83,8.62,8.43,8.24,8.06,7.89,53
9.94,9.69,9.45,9.21,9.00,8.79,8.59,8.40,8.21,8.04,54
10.13,9.87,9.62,9.39,9.16,8.95,8.75,8.55,8.36,8.19,55
10.31,10.05,9.80,9.56,9.33,9.11,8.90,8.71,8.52,8.34,56
10.50,10.23,9.97,9.73,9.50,9.27,9.06,8.86,8.67,8.48,57
10.68,10.41,10.15,9.90,9.66,9.44,9.22,9.02,8.82,8.63,58
10.86,10.58,10.32,10.07,9.83,9.60,9.38,9.17,8.97,8.78,59
11.05,10.76,10.50,10.24,10.00,9.76,9.54,9.33,9.13,8.93,60
11.23,10.94,10.67,10.41,10.16,9.93,9.70,9.48,9.28,9.08,61
11.42,11.12,10.85,10.58,10.33,10.09,9.86,9.64,9.43,9.23,62
11.60,11.30,11.02,10.75,10.50,10.25,10.02,9.80,9.58,9.38,63
11.78,11.48,11.20,10.92,10.66,10.41,10.18,9.95,9.73,9.53,64
11.97,11.66,11.37,11.09,10.83,10.58,10.34,10.11,9.89,9.68,65
12.15,11.84,11.55,11.26,11.00,10.74,10.50,10.26,10.04,9.82,66
12.34,12.02,11.72,11.43,11.16,10.90,10.65,10.42,10.19,9.97,67
12.52,12.20,11.90,11.60,11.33,11.06,10.81,10.57,10.34,10.12,68
12.71,12.38,12.07,11.78,11.50,11.23,10.97,10.73,10.50,10.27,69
12.89,12.56,12.25,11.95,11.66,11.39,11.13,10.88,10.65,10.42,70
13.07,12.74,12.42,12.12,11.83,11.55,11.29,11.04,10.80,10.57,71
13.26,12.92,12.60,12.29,12.00,11.72,11.45,11.20,10.95,10.72,72
13.44,13.10,12.77,12.46,12.16,11.88,11.61,11.35,11.10,10.87,73
13.63,13.28,12.95,12.63,12.33,12.04,11.77,11.51,11.26,11.02,74
13.81,13.46,13.12,12.80,12.50,12.20,11.93,11.66,11.41,11.17,75
14.00,13.64,13.30,12.97,12.66,12.37,12.09,11.82,11.56,11.31,76
14.18,13.82,13.47,13.14,12.83,12.53,12.25,11.97,11.71,11.46,77
14.36,14.00,13.65,13.31,13.00,12.69,12.40,12.13,11.86,11.61,78
14.55,14.17,13.82,13.48,13.16,12.86,12.56,12.28,12.02,11.76,79
14.73,14.35,14.00,13.65,13.33,13.02,12.72,12.44,12.17,11.91,80
14.92,14.53,14.17,13.82,13.50,13.18,12.88,12.60,12.32,12.06,81
15.10,14.71,14.35,14.00,13.66,13.34,13.04,12.75,12.47,12.21,82
15.28,14.89,14.52,14.17,13.83,13.51,13.20,12.91,12.63,12.36,83
15.47,15.07,14.70,14.34,14.00,13.67,13.36,13.06,12.78,12.51,84
15.65,15.25,14.87,14.51,14.16,13.83,13.52,13.22,12.93,12.65,85
15.84,15.43,15.05,14.68,14.33,14.00,13.68,13.37,13.08,12.80,86
16.02,15.61,15.22,14.85,14.50,14.16,13.84,13.53,13.23,12.95,87
16.21,15.79,15.40,15.02,14.66,14.32,14.00,13.68,13.39,13.10,88
16.39,15.97,15.57,15.19,14.83,14.48,14.15,13.84,13.54,13.25,89
16.57,16.15,15.75,15.36,15.00,14.65,14.31,14.00,13.69,13.40,90
16.76,16.33,15.92,15.53,15.16,14.81,14.47,14.15,13.84,13.55,91
16.94,16.51,16.10,15.70,15.33,14.97,14.63,14.31,14.00,13.70,92
17.13,16.69,16.27,15.87,15.50,15.13,14.79,14.46,14.15,13.85,93
17.31,16.87,16.45,16.04,15.66,15.30,14.95,14.62,14.30,14.00,94
17.50,17.05,16.62,16.21,15.83,15.46,15.11,14.77,14.45,14.14,95
17.68,17.23,16.80,16.39,16.00,15.62,15.27,14.93,14.60,14.29,96
17.86,17.41,16.97,16.56,16.16,15.79,15.43,15.08,14.76,14.44,97
18.05,17.58,17.15,16.73,16.33,15.95,15.59,15.24,14.91,14.59,98
18.23,17.76,17.32,16.90,16.50,16.11,15.75,15.40,15.06,14.74,99
18.42,17.94,17.50,17.07,16.66,16.27,15.90,15.55,15.21,14.89,100
18.60,18.12,17.67,17.24,16.83,16.44,16.06,15.71,15.36,15.04,101
18.78,18.30,17.85,17.41,17.00,16.60,16.22,15.86,15.52,15.19,102
18.97,18.48,18.02,17.58,17.16,16.76,16.38,16.02,15.67,15.34,103
19.15,18.66,18.20,17.75,17.33,16.93,16.54,16.17,15.82,15.48,104
19.34,18.84,18.37,17.92,17.50,17.09,16.70,16.33,15.97,15.63,105
19.52,19.02,18.55,18.09,17.66,17.25,16.86,16.48,16.13,15.78,106
19.71,19.20,18.72,18.26,17.83,17.41,17.02,16.64,16.28,15.93,107
19.89,19.38,18.90,18.43,18.00,17.58,17.18,16.80,16.43,16.08,108
20.07,19.56,19.07,18.60,18.16,17.74,17.34,16.95,16.58,16.23,109
20.26,19.74,19.25,18.78,18.33,17.90,17.50,17.11,16.73,16.38,110
20.44,19.92,19.42,18.95,18.50,18.06,17.65,17.26,16.89,16.53,111
20.63,20.10,19.60,19.12,18.66,18.23,17.81,17.42,17.04,16.68,112
20.81,20.28,19.77,19.29,18.83,18.39,17.97,17.57,17.19,16.82,113
21.00,20.46,19.95,19.46,19.00,18.55,18.13,17.73,17.34,16.97,114
21.18,20.64,20.12,19.63,19.16,18.72,18.29,17.88,17.50,17.12,115
21.36,20.82,20.30,19.80,19.33,18.88,18.45,18.04,17.65,17.27,116
21.55,21.00,20.47,19.97,19.50,19.04,18.61,18.20,17.80,17.42,117
21.73,21.17,20.65,20.14,19.66,19.20,18.77,18.35,17.95,17.57,118
21.92,21.35,20.82,20.31,19.83,19.37,18.93,18.51,18.10,17.72,119
22.10,21.53,21.00,20.48,20.00,19.53,19.09,18.66,18.26,17.87,120
22.28,21.71,21.17,20.65,20.16,19.69,19.25,18.82,18.41,18.02,121
22.47,21.89,21.35,20.82,20.33,19.86,19.40,18.97,18.56,18.17,122
22.65,22.07,21.52,21.00,20.50,20.02,19.56,19.13,18.71,18.31,123
22.84,22.25,21.70,21.17,20.66,20.18,19.72,19.28,18.86,18.46,124
23.02,22.43,21.87,21.34,20.83,20.34,19.88,19.44,19.02,18.61,125
23.21,22.61,22.05,21.51,21.00,20.51,20.04,19.60,19.17,18.76,126
23.39,22.79,22.22,21.68,21.16,20.67,20.20,19.75,19.32,18.91,127
23.57,22.97,22.40,21.85,21.33,20.83,20.36,19.91,19.47,19.06,128
23.76,23.15,22.57,22.02,21.50,21.00,20.52,20.06,19.63,19.21,129
23.94,23.33,22.75,22.19,21.66,21.16,20.68,20.22,19.78,19.36,130
24.13,23.51,22.92,22.36,21.83,21.32,20.84,20.37,19.93,19.51,131
24.31,23.69,23.10,22.53,22.00,21.48,21.00,20.53,20.08,19.65,132
24.50,23.87,23.27,22.70,22.16,21.65,21.15,20.68,20.23,19.80,133
24.68,24.05,23.45,22.87,22.33,21.81,21.31,20.84,20.39,19.95,134
24.86,24.23,23.62,23.04,22.50,21.97,21.47,21.00,20.54,20.10,135
25.05,24.41,23.80,23.21,22.66,22.13,21.63,21.15,20.69,20.25,136
25.23,24.58,23.97,23.39,22.83,22.30,21.79,21.31,20.84,20.40,137
25.42,24.76,24.15,23.56,23.00,22.46,21.95,21.46,21.00,20.55,138
25.60,24.94,24.32,23.73,23.16,22.62,22.11,21.62,21.15,20.70,139
25.78,25.12,24.50,23.90,23.33,22.79,22.27,21.77,21.30,20.85,140
25.97,25.30,24.67,24.07,23.50,22.95,22.43,21.93,21.45,21.00,141
26.15,25.48,24.85,24.24,23.66,23.11,22.59,22.08,21.60,21.14,142
26.34,25.66,25.02,24.41,23.83,23.27,22.75,22.24,21.76,21.29,143
26.52,25.84,25.20,24.58,24.00,23.44,22.90,22.40,21.91,21.44,144
26.71,26.02,25.37,24.75,24.16,23.60,23.06,22.55,22.06,21.59,145
26.89,26.20,25.55,24.92,24.33,23.76,23.22,22.71,22.21,21.74,146
27.07,26.38,25.72,25.09,24.50,23.93,23.38,22.86,22.36,21.89,147
27.26,26.56,25.90,25.26,24.66,24.09,23.54,23.02,22.52,22.04,148
27.44,26.74,26.07,25.43,24.83,24.25,23.70,23.17,22.67,22.19,149
27.63,26.92,26.25,25.60,25.00,24.41,23.86,23.33,22.82,22.34,150
27.81,27.10,26.42,25.78,25.16,24.58,24.02,23.48,22.97,22.48,151
28.00,27.28,26.60,25.95,25.33,24.74,24.18,23.64,23.13,22.63,152
28.18,27.46,26.77,26.12,25.50,24.90,24.34,23.80,23.28,22.78,153
28.36,27.64,26.95,26.29,25.66,25.06,24.50,23.95,23.43,22.93,154
28.55,27.82,27.12,26.46,25.83,25.23,24.65,24.11,23.58,23.08,155
28.73,28.00,27.30,26.63,26.00,25.39,24.81,24.26,23.73,23.23,156
28.92,28.17,27.47,26.80,26.16,25.55,24.97,24.42,23.89,23.38,157
29.10,28.35,27.65,26.97,26.33,25.72,25.13,24.57,24.04,23.53,158
29.28,28.53,27.82,27.14,26.50,25.88,25.29,24.73,24.19,23.68,159
29.47,28.71,28.00,27.31,26.66,26.04,25.45,24.88,24.34,23.82,160
29.65,28.89,28.17,27.48,26.83,26.20,25.61,25.04,24.50,23.97,161
29.84,29.07,28.35,27.65,27.00,26.37,25.77,25.20,24.65,24.12,162
30.02,29.25,28.52,27.82,27.16,26.53,25.93,25.35,24.80,24.27,163
30.21,29.43,28.70,28.00,27.33,26.69,26.09,25.51,24.95,24.42,164
30.39,29.61,28.87,28.17,27.50,26.86,26.25,25.66,25.10,24.57,165
30.57,29.79,29.05,28.34,27.66,27.02,26.40,25.82,25.26,24.72,166
30.76,29.97,29.22,28.51,27.83,27.18,26.56,25.97,25.41,24.87,167
30.94,30.15,29.40,28.68,28.00,27.34,26.72,26.13,25.56,25.02,168
31.13,30.33,29.57,28.85,28.16,27.51,26.88,26.28,25.71,25.17,169
31.31,30.51,29.75,29.02,28.33,27.67,27.04,26.44,25.86,25.31,170
31.50,30.69,29.92,29.19,28.50,27.83,27.20,26.60,26.02,25.46,171
31.68,30.87,30.10,29.36,28.66,28.00,27.36,26.75,26.17,25.61,172
31.86,31.05,30.27,29.53,28.83,28.16,27.52,26.91,26.32,25.76,173
32.05,31.23,30.45,29.70,29.00,28.32,27.68,27.06,26.47,25.91,174
32.23,31.41,30.62,29.87,29.16,28.48,27.84,27.22,26.63,26.06,175
32.42,31.58,30.80,30.04,29.33,28.65,28.00,27.37,26.78,26.21,176
32.60,31.76,30.97,30.21,29.50,28.81,28.15,27.53,26.93,26.36,177
32.78,31.94,31.15,30.39,29.66,28.97,28.31,27.68,27.08,26.51,178
32.97,32.12,31.32,30.56,29.83,29.13,28.47,27.84,27.23,26.65,179
33.15,32.30,31.50,30.73,30.00,29.30,28.63,28.00,27.39,26.80,180
33.34,32.48,31.67,30.90,30.16,29.46,28.79,28.15,27.54,26.95,181
33.52,32.66,31.85,31.07,30.33,29.62,28.95,28.31,27.69,27.10,182
33.71,32.84,32.02,31.24,30.50,29.79,29.11,28.46,27.84,27.25,183
33.89,33.02,32.20,31.41,30.66,29.95,29.27,28.62,28.00,27.40,184
34.07,33.20,32.37,31.58,30.83,30.11,29.43,28.77,28.15,27.55,185
34.26,33.38,32.55,31.75,31.00,30.27,29.59,28.93,28.30,27.70,186
34.44,33.56,32.72,31.92,31.16,30.44,29.75,29.08,28.45,27.85,187
34.63,33.74,32.90,32.09,31.33,30.60,29.90,29.24,28.60,28.00,188
34.81,33.92,33.07,32.26,31.50,30.76,30.06,29.40,28.76,28.14,189
35.00,34.10,33.25,32.43,31.66,30.93,30.22,29.55,28.91,28.29,190
35.18,34.28,33.42,32.60,31.83,31.09,30.38,29.71,29.06,28.44,191
35.36,34.46,33.60,32.78,32.00,31.25,30.54,29.86,29.21,28.59,192
35.55,34.64,33.77,32.95,32.16,31.41,30.70,30.02,29.36,28.74,193
35.73,34.82,33.95,33.12,32.33,31.58,30.86,30.17,29.52,28.89,194
35.92,35.00,34.12,33.29,32.50,31.74,31.02,30.33,29.67,29.04,195
36.10,35.17,34.30,33.46,32.66,31.90,31.18,30.48,29.82,29.19,196
36.28,35.35,34.47,33.63,32.83,32.06,31.34,30.64,29.97,29.34,197
36.47,35.53,34.65,33.80,33.00,32.23,31.50,30.80,30.13,29.48,198
36.65,35.71,34.82,33.97,33.16,32.39,31.65,30.95,30.28,29.63,199
36.84,35.89,35.00,34.14,33.33,32.55,31.81,31.11,30.43,29.78,200
37.02,36.07,35.17,34.31,33.50,32.72,31.97,31.26,30.58,29.93,201
37.21,36.25,35.35,34.48,33.66,32.88,32.13,31.42,30.73,30.08,202
37.39,36.43,35.52,34.65,33.83,33.04,32.29,31.57,30.89,30.23,203
37.57,36.61,35.70,34.82,34.00,33.20,32.45,31.73,31.04,30.38,204
37.76,36.79,35.87,35.00,34.16,33.37,32.61,31.88,31.19,30.53,205
37.94,36.97,36.05,35.17,34.33,33.53,32.77,32.04,31.34,30.68,206
38.13,37.15,36.22,35.34,34.50,33.69,32.93,32.20,31.50,30.82,207
38.31,37.33,36.40,35.51,34.66,33.86,33.09,32.35,31.65,30.97,208
38.50,37.51,36.57,35.68,34.83,34.02,33.25,32.51,31.80,31.12,209
38.68,37.69,36.75,35.85,35.00,34.18,33.40,32.66,31.95,31.27,210
38.86,37.87,36.92,36.02,35.16,34.34,33.56,32.82,32.10,31.42,211
39.05,38.05,37.10,36.19,35.33,34.51,33.72,32.97,32.26,31.57,212
39.23,38.23,37.27,36.36,35.50,34.67,33.88,33.13,32.41,31.72,213
39.42,38.41,37.45,36.53,35.66,34.83,34.04,33.28,32.56,31.87,214
39.60,38.58,37.62,36.70,35.83,35.00,34.20,33.44,32.71,32.02,215
39.78,38.76,37.80,36.87,36.00,35.16,34.36,33.60,32.86,32.17,216
39.97,38.94,37.97,37.04,36.16,35.32,34.52,33.75,33.02,32.31,217
40.15,39.12,38.15,37.21,36.33,35.48,34.68,33.91,33.17,32.46,218
40.34,39.30,38.32,37.39,36.50,35.65,34.84,34.06,33.32,32.61,219
40.52,39.48,38.50,37.56,36.66,35.81,35.00,34.22,33.47,32.76,220
40.71,39.66,38.67,37.73,36.83,35.97,35.15,34.37,33.63,32.91,221
40.89,39.84,38.85,37.90,37.00,36.13,35.31,34.53,33.78,33.06,222
41.07,40.02,39.02,38.07,37.16,36.30,35.47,34.68,33.93,33.21,223
41.26,40.20,39.20,38.24,37.33,36.46,35.63,34.84,34.08,33.36,224
41.44,40.38,39.37,38.41,37.50,36.62,35.79,35.00,34.23,33.51,225
41.63,40.56,39.55,38.58,37.66,36.79,35.95,35.15,34.39,33.65,226
41.81,40.74,39.72,38.75,37.83,36.95,36.11,35.31,34.54,33.80,227
42.00,40.92,39.90,38.92,38.00,37.11,36.27,35.46,34.69,33.95,228
42.18,41.10,40.07,39.09,38.16,37.27,36.43,35.62,34.84,34.10,229
42.36,41.28,40.25,39.26,38.33,37.44,36.59,35.77,35.00,34.25,230
42.55,41.46,40.42,39.43,38.50,37.60,36.75,35.93,35.15,34.40,231
42.73,41.64,40.60,39.60,38.66,37.76,36.90,36.08,35.30,34.55,232
42.92,41.82,40.77,39.78,38.83,37.93,37.06,36.24,35.45,34.70,233
43.10,42.00,40.95,39.95,39.00,38.09,37.22,36.40,35.60,34.85,234
43.28,42.17,41.12,40.12,39.16,38.25,37.38,36.55,35.76,35.00,235
43.47,42.35,41.30,40.29,39.33,38.41,37.54,36.71,35.91,35.14,236
43.65,42.53,41.47,40.46,39.50,38.58,37.70,36.86,36.06,35.29,237
43.84,42.71,41.65,40.63,39.66,38.74,37.86,37.02,36.21,35.44,238
44.02,42.89,41.82,40.80,39.83,38.90,38.02,37.17,36.36,35.59,239
44.21,43.07,42.00,40.97,40.00,39.06,38.18,37.33,36.52,35.74,240
44.39,43.25,42.17,41.14,40.16,39.23,38.34,37.48,36.67,35.89,241
44.57,43.43,42.35,41.31,40.33,39.39,38.50,37.64,36.82,36.04,242
44.76,43.61,42.52,41.48,40.50,39.55,38.65,37.80,36.97,36.19,243
44.94,43.79,42.70,41.65,40.66,39.72,38.81,37.95,37.13,36.34,244
45.13,43.97,42.87,41.82,40.83,39.88,38.97,38.11,37.28,36.48,245
